Id,Name,Ball_Control,Dribbling,Marking,Sliding_Tackle,Interceptions,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Freekick_Accuracy
16510,David Camacho,46,55,37,43,32,68,67,65,50,69,62,54,39,49,53,41
17511,Assan Ceesay,52,49,18,21,17,69,67,40,35,68,51,47,35,64,48,40
2076,Omar Colley,61,42,69,78,67,61,81,78,87,44,58,65,75,41,28,37
9001,Lucas Menossi,64,65,62,63,65,77,75,75,37,91,90,76,54,50,35,59
496,Jonathan dos Santos,85,80,52,55,65,72,71,77,65,81,75,69,57,72,62,76
14689,Alvin Meldeiros,57,64,51,59,55,62,66,64,67,57,58,63,49,56,39,43
11418,George Baldock,67,68,57,65,54,76,72,83,64,73,80,82,42,46,40,37
7979,Erich Berko,67,68,22,26,33,83,84,68,64,71,68,64,47,63,60,42
9048,Adolphe Teikeu,58,36,64,72,58,54,57,56,70,48,47,74,69,40,25,28
11763,Leandro Gelpi,11,9,8,13,12,31,32,22,47,44,29,64,10,23,7,11
12780,René Meléndez,62,63,37,36,30,74,70,50,51,75,74,64,44,58,44,50
14684,Aaron Mattia Tabacchi,68,68,16,22,19,69,69,55,33,69,69,55,28,53,49,32
6106,Haris Radetinac,72,73,28,23,30,67,70,61,70,59,80,29,34,63,60,56
3443,Kenneth Omeruo,60,53,70,69,69,72,78,75,82,58,65,84,71,54,22,23
7498,Melli,57,44,65,61,65,52,58,61,71,59,46,69,73,56,26,57
16820,Nicholas Marfelt,53,55,41,59,45,67,72,56,65,62,54,61,36,29,25,28
3979,Carlos Henao,52,38,71,71,80,50,53,70,88,41,44,67,68,75,30,78
13486,Ilyes Chaïbi,61,64,16,13,23,73,76,56,68,76,69,62,56,62,56,34
15350,Michael Zacho,61,60,42,38,24,68,73,56,53,76,68,61,42,54,50,51
2462,Panagiotis Kone,76,75,49,49,49,75,80,69,69,59,80,59,59,74,67,59
4324,Marin Leovac,68,69,70,71,66,82,79,80,73,68,72,71,45,70,33,55
15841,Gwon Jin Yeong,56,57,66,59,51,66,73,52,53,71,62,62,53,29,26,31
679,Jefferson Farfán,79,80,17,29,39,82,83,75,78,66,75,65,58,81,75,80
13610,Jeison Ángulo,54,64,59,62,58,73,72,68,69,64,73,63,53,25,22,28
16294,Kristoffer Hay,32,31,50,58,55,56,60,59,77,40,43,71,49,35,19,27
6369,Simon Dawkins,68,72,50,33,49,69,74,73,59,69,79,61,51,66,63,60
15097,Dayron Benavides,52,45,59,57,61,56,67,59,74,51,53,59,62,20,25,28
12340,Thomas Bergmann,61,59,60,60,58,74,77,71,60,83,72,58,46,79,48,23
3084,Adam Federici,27,19,20,18,22,47,49,41,72,42,50,73,18,17,18,21
839,Paul Baysse,65,62,78,74,74,62,68,74,83,65,60,80,82,59,40,36
14214,Valeriy Alshanskiy,56,64,21,19,13,55,52,51,57,64,51,74,62,59,66,37
8367,Nick Blackman,69,70,32,32,37,81,79,71,70,59,78,60,58,78,64,63
13005,Frederik Møller,56,59,53,55,61,67,72,62,70,70,64,66,52,63,51,61
14588,Vyacheslav Tankovskyi,67,60,39,41,32,65,67,64,38,88,61,51,38,49,46,41
16924,Sanijel Kucani,38,54,44,61,56,68,59,61,56,65,50,64,44,27,29,30
4343,Daniel Adejo,57,51,66,68,67,78,83,86,86,68,60,83,71,62,35,36
